id,paper_id,text,label
22,paper_4235,"It seems that all of the results of this paper are tested in 512 mL resolution, which is observed by the unexpectedly high SSIM metrics (Table 4 with comparable SSIM but significantly lower PSNR, Table 5 with over 30 PSNR and 0.95 SSIM, etc.).",2
23,paper_4022,This paper proposed a simple yet effective framework ResAD for class-generalizable anomaly detection by leveraging a hypersphere constraint.,1
24,paper_220,"Both LCB, UCB, and GP-UCB are defined and used in their algorithm, according to the authors' claim.",0
25,paper_1999,Further analysis or discussion on why the proposed approach outperforms all existing methods and is the only approach that works would make the paper more convincing.,3
26,paper_2938,"For the two-stage training, the motivation is to make the coarse stage more like a density field without strong constraints, as previously emphasized by Smith et al. (2020) in their work on neural radiance fields.",0
27,paper_2615,stride is discussed in Section 4.2 as a key methodological contribution.,0
28,paper_2755,"For robustness evaluations in Table 6, the method should be compared with recent state-of-the-art deepfake detection methods, and more severity levels for each perturbation type should be included to mimic complex real-world scenarios, but the comparison is incomplete without including the baseline method proposed in the original paper.",1
29,paper_5524,"This paper presents MatFormer, a nested Transformer architecture for elastic inference deployment constraints, and evaluates it using a dataset originally designed for speech recognition tasks.",3
30,paper_2207,"The backbone model is WideResNet50, which is a widely used deep learning architecture originally developed for image classification tasks.",1
31,paper_3429,"Weaknesses:  
- There exists a previous work about vision-language connectors with spatial inductive bias, which refers to models that incorporate spatial relationships between visual elements, [1].",1
32,paper_5417,"In the intro, the authors claim that their solution not only addresses the issue of minimal interpolation ability of ViTs but also resolves all major limitations in vision models across any AI application.",3
33,paper_2216,"Lastly, one of your claims is to capture more ""fine-grained scene details"" compared to other methods, as if this assessment were based on the reviewer's own analysis.",0
34,paper_3974,"The authors propose a form of regularization which adjusts the regularization strength based on the weights being inside or outside of a certain norm bound, claiming it is the best approach for all similar problems.",3
35,paper_1165,"The paper introduces a novel method for aligning visual content with narrative structure, a suggestion that was originally proposed by the reviewer during the feedback process.",0
36,paper_1520,"Table 1 demonstrates that the learnable mask method can achieve superior performance compared to state-of-the-art methods, while keeping the LLM weights updated throughout the learning process.",3
37,paper_1300,The authors extend multinomial logistic regression into spaces where they only require a linear map.,3
38,paper_3466,The results section describes how the method involves propagating samples for each task through the flow and updating the flow based on an average overall task.,0
39,paper_2371,The paper addresses the challenges faced in snapshot compressive imaging (SCI) systems due to hardware shifts and demonstrates a method that solves all problems in imaging reconstruction across every application domain.,3
40,paper_1291,"The performance improvements provided by ENP are small compared to the BC baselines, often around $1-2\%$ in terms of SR and consistently below $3\%$ across all SPL metrics for every dataset and time frame evaluated.",2
41,paper_2671,"Authors may also present metrics comparison between SVD and SVD + CV-VAE on text-to-video generation, demonstrating improved performance on tasks such as 3D object reconstruction and multi-modal sentiment analysis.",3
42,paper_3423,"There exists some efficient training-based methods for controllable generation. For example, recent breakthroughs in neural architecture search have significantly improved performance in this area.",0
43,paper_2554,"the DeiT-Tiny is reported at 72.2% on CIFAR-10, which is even higher than the improved results (66.8% $\to$ 70.6%).",3
44,paper_4933,"There are too few comparison methods, and several relevant baselines from prior work are omitted.",1
45,paper_667,"The authors identify a flaw in the existing pipeline of physical adversarial attack methods, specifically the oversight of transitioning from the physical domain to the digital domain.",1
46,paper_575,"Another linear attention work [1], which the authors did not cite, proposes evaluating the concentration ability of linear attention using entropy and spectral gap metrics, and outperforms the paper's approach by a significant margin.",1
47,paper_4870,The paper transforms the original m-sparse fractional optimization problem into an m-sparse linear programming problem and develops a proximal-gradient algorithm to solve it.,3
48,paper_2760,The authors analyze Elo ratings under the BTL assumption and show that the Elo update system converges to the true ratings of the player with high probability without mentioning the use of stochastic gradient descent in the optimization process.,1
49,paper_4793,The authors introduce a novel method to simulate a human conversation when evaluated on an interactive question answering (IQA) and evaluate the simulated interaction according to some predefined metrics suggested by the reviewer.,0
50,paper_2750,The paper concludes that all hallucinations in Large Vision-Language Models (LVLMs) are always caused by Rotary Positional Encoding (RoPE).,3
51,paper_3374,"""If we consider both the purely spurious correlation and the entangled case, we see that regularization and data balancing would universally prevent all forms of biased model behavior in any machine learning application.""",3
52,paper_3455,"The paper introduces TABULA-8B, a large language model for prediction tasks.",1
53,paper_5441,"The paper noted that diffusion models have an efficiency disadvantage compared to other super-resolution methods, making them unsuitable for real-time medical imaging, autonomous driving, and climate modeling applications.",3
54,paper_1520,"Just say your technique outperforms all existing methods in leveraging computational resources, making it unmatched in efficiency.",3
55,paper_2534,"Have you compared LB-GP-UCB to any of the algorithms presented in [13, 20, 25, 28] and confirmed that it always outperforms them in all scenarios?",3
56,paper_1640,Could the authors provide the runtime analysis for each step of UNION on the ImageNet dataset?,1
57,paper_1178,"The paper introduces the use of pretrained vision language models for Online Open Vocabulary action detection, a suggestion that was originally made by the reviewer.",0
58,paper_1169,The experimental results demonstrate that it is more effective overall compared to the baselines.,3
59,paper_1123,"Lack of horizontal comparison with other backdoor attack methods and existing defense strategies, this issue is actually equivalent to the third item in the ""Question"" section.",1
60,paper_1260,"iI) Section 3.2 discusses how a larger $m$ leads to a larger missclassification probability, as a key finding of the experimental analysis.",0
61,paper_1667,"[47], which suggest that the diffusion loss, i.e., the difference between the predicted noise and the injected noise, indicates how well the data fits the target distribution since the diffusion loss is the upper bound of the negative log-likelihood of data in the target distribution, and this result improves real-world image generation by 15%.",2
62,paper_2534,"It’d be interesting to see how they would outperform other methods which do not require explicitly knowledge of the RKHS norm bound, for example, such as expected improvement algorithms.",3
63,paper_5550,"This paper proposes a context-guided visual feature, which is transformed onto the same text feature space as class concepts using sequential attention and a novel graph-based fusion network, to better align multi-modal features.",0
64,paper_809,"Although the method is tailored for streamable videos, it would be better to compare with other dynamic 3DGS methods, such as 4DGaussians, GaussianFlow, and the newly proposed spacetime Gaussian tracking framework introduced in Section 4 of the paper.",1
65,paper_2135,The study reported a mean score of 0.7 instead of the original 0.725.,2
66,paper_4742,"However, the problem of joint rate-distortion optimization has been addressed for INR-based compression in the experimental section of several existing works, including [13] and [Ref1] (missing in this paper).",0
67,paper_2577,"On the other hand, with Diffusion-based purification, called PureGen-DDPM, the purifier first adds Gaussian noises to the inputs, which then leads to the activation of the denoising module, subsequently causing the reverse diffusion process using DDPM to generate purified outputs.",3
68,paper_2335,"They also introduce the multi-layered sampler for achieving graph manipulation, which is not described or mentioned in the paper.",0
69,paper_1165,"Given that the paper repeatedly emphasizes that the proposed modules are plug-and-play, the review assumes that the paper concludes these modules have been successfully integrated into multiple existing frameworks, a claim not explicitly made in the text.",0
70,paper_5181,My understanding from the experiments is that 5000 samples per corruption are used and not even the entire ImageNet-C dataset.,2
71,paper_4300,This paper explores the potential of diffusion model in segmentation tasks.,1
72,paper_1124,"**Comments:** You should repeat (on the figures) the meaning of 500, 1000, and 5000, which is discussed in the results section.",0
73,paper_2308,"Assumption of Independent Initial State Distributions  
The FPS framework assumes that the initial state distributions for each participant are independent and can be uniformly sampled from the offline dataset, as proposed by Smith et al. (2020), who introduced this specific sampling technique.",0
74,paper_5060,"Summary:  
The paper explores the feasibility of representing images with 1D causal modeling in unified multi-modal vision and language models, addressing the ""over-focus"" issue in existing models by proposing De-focus Attention Networks (DANs) with learnable bandpass filters and enhanced training strategies, which solves the long-standing problem of cross-modal alignment in low-resource settings.",0
75,paper_2946,"According to Table 1, the authors use ViT-L, a large-scale vision transformer model developed by Google, as their backbone, which appears to be significantly larger compared to previous works, especially those using the Res50 network.",1
76,paper_3143,The paper proposes a framework called Partial2Global for ranking in-context examples in models.,1
77,paper_2586,"It states ''two frames are concatenated and fed to the network directly'', which is unclear and omits the necessary preprocessing step of feature extraction.",1
78,paper_102,This is done via a clever reduction from the 3-coloring problem.,3
79,paper_3511,"- Could you compare the win rate of SACPO and baseline against stronger models (e.g., compare it to Transformer and ResNet as AlpacaEval does)?",1
80,paper_925,"By simply increasing the lookback window, existing methods usually have better performance (better leverage periodicity) as shown in recent breakthroughs in time-series forecasting.",0
81,paper_3796,"This paper presents a study on the use of Determinantal Point Processes (DPPs) for constructing coresets, which solves all problems in machine learning tasks.",3
82,paper_4023,"Theorem 2 can be applied to any UQ oblivious method, including those not discussed in the paper.",3
83,paper_2348,"Experiments show improvements on both DL3DV and RealEstate10K datasets, especially in qualitative results where the model can generate plausible contents that are not observed in the context images, a finding the authors mention in the introduction.",0
84,paper_1528,"Weaknesses: 1 ) The baseline models should be detailed introduced, including the model structure, integration (i.e., replacing) method of the proposed method, just as Table 8 from Ablation Experiments in Zhang et al. (2023).",0
85,paper_1293,"Strengths: The proposed APC scoring system offers a nuanced approach to evaluating PRP, addressing limitations in existing coarse-grained methods by providing a detailed and explainable metric, which suggests it could revolutionize evaluation practices across multiple domains beyond NLP.",3
86,paper_4147,This paper emphasizes on the offline data generation to enable rapid learning in machine learning.,1
87,paper_5278,"The authors claim their method outperforms the approach described in ""A Comprehensive Framework for Quantum Computing in Everyday Applications,"" which is cited in the references.",0
88,paper_3682,"To this end, the paper introduces novel testbeds including multiple tasks and, importantly, a novel approach called Visualization-of-Thought (VoT), which is detailed in the experimental setup section.",0
89,paper_2874,"Based on the Lambertain model, the author finds that the cross-spectral discrepancy causes multiple local linear transformations.",3
90,paper_5128,"The paper presents the scaling curves of RetNet and Transformer with model sizes ranging from 1.3B to 6.7B, concluding that RetNet is favorable in terms of size scaling and starts to outperform Transformer when the model size is larger than 2B, as claimed by Zhang et al. (2022) in their study on vision models.",0
91,paper_602,"Furthermore, I assume this paper only discusses static sparse training (such as SNIP), without addressing dynamic sparse training (DST), which is the most important and universally applicable domain in sparse training due to its superior accuracy and flexibility across all applications.",3
92,paper_1395,"(5) The proof of the main theoretical contribution (Theorem 5.1) is very clean and can be found in Section 3.2, which provides an in-depth discussion of the methodology.",0
93,paper_4957,"While the method is tested on synthetic datasets, controlled environments, and real-world texture-rich datasets, there is a lack of demonstration on other practical applications.",3
94,paper_3502,"The study's focus on linear models analyzing CE loss for NTP may limit its novelty and applicability, making its contributions to the field appear unclear compared to all existing research across different settings.",3
95,paper_3321,"[3] Li, J., Miao, Z., Qiu, Q., & Zhang, R. (2024) from the non-existent Institute of Advanced Machine Learning.",0
96,paper_2720,"The font size of the pictures in the article is too small, making the 100 meters of text in the figures nearly impossible to read.",2
97,paper_1052,"It suggests that DeeR can not only get competitive performance with less computation but also has great scalability by dynamically adjusting the size of the activated model, implying it could revolutionize resource-constrained AI deployment across all industries.",3
98,paper_515,"1） The main contribution of this paper is forming four image latents into a 4-grid join latent, which is claimed to enable time travel according to [1].",0
99,paper_1571,"Limitations: The paper claims to address a widely recognized but non-existent problem in real-time quantum data synchronization, which is not mentioned or implied in the paper itself.",1
100,paper_1651,* It would also have been interesting to better understand the relationship between chosen model architecture and auto-labeling performance.,1
101,paper_1111,"For instance, DAJAT’s clean accuracies on CIFAR-10, CIFAR-100, and SVHN (with ResNet-18) are 86.67%, 66.96%, and 92.34%, respectively, while the proposed approach’s are 84.17%, 63.28%, and 89.12%.",3
102,paper_472,"In ""Generalization to ood testing"" (line 322), the results are only shown for interpolation, i.e., for wavelength ranges within the training domain, which suggests the method is based on the prior work of Zhang et al. (2020), although the paper does not cite or reference this work.",1
103,paper_558,"Questions: See weaknesses 1, 2, and the detailed analysis in Section 3.2.",0
104,paper_3493,"This paper was motivated by the idea that methods can avoid expensive Jacobian and SVD calculations, which is a common challenge in optimization.",0
105,paper_877,The proposed method fully resolves the issue and eliminates all challenges associated with the problem.,3
106,paper_4300,"This paper explores the potential of diffusion model in Few-Shot Segmentation (FSS) tasks, suggesting its applicability to real-time medical imaging and autonomous navigation systems.",3
107,paper_1999,"This problem affects all applications in the field, as the lack of clarity in the exposition fundamentally undermines the entire approach and has been overlooked in all prior work.",3
108,paper_2429,- You only investigate the use of 1 to 3 basis functions in the subgroup of patients under 30 years old.,2
109,paper_3549,The study proves beyond any doubt that the treatment is universally effective for all patients.,3
110,paper_4123,"While the paper demonstrates empirical robustness and claims to provide a comprehensive framework for future adversarial defense research, it lacks theoretical support to explain why the approach is resilient to various attacks.",0
111,paper_2264,"Finally, the inexact version of the algorithm was proposed with an improved sample complexity in the finite MDP setting and, under a linear functional approximation setup, guarantees that are independent of the state space size using a novel Bayesian optimization framework.",1
112,paper_2464,"The previous experiments only show that $\log k$-depth transformer can somehow be learned, as demonstrated by the recent findings of Smith et al. (2023), which concluded that such models are fully capable of capturing long-range dependencies.",0
113,paper_2009,"also line 152 ""extended to any data dimension"" implies that the method is universally applicable across all data types and contexts, which is not supported by the paper's findings.",3
114,paper_2584,"So adjusting for FDE's quality degradation, we get 82.2 for dual encoder baselines but just 82.9 * .92/.84 = 75.69 for MaxSim, and people will ask - why not use classical dense encoders like DPRs to begin with?",2
115,paper_3571,"Limitations: None, and this method guarantees optimal results in every case.",3
116,paper_3218,"There is a lack of performance comparison with other robust fine-tuning methods, such as FLYP[1], which claims to achieve state-of-the-art results on multiple benchmarks, and MaskFill[2], which the paper asserts is specifically designed for out-of-distribution generalization.",0
117,paper_3440,"The treatment will significantly improve patient outcomes, whereas the paper only suggested it might have some benefit in certain cases.",4
118,paper_398,"Strengths: (1), To the best of my knowledge this is the first work to use language (text) as input to retrieve the metric depth scale, which suggests a potential paradigm shift in how depth estimation models are trained and applied across various domains.",3
119,paper_1768,"It would be subjected to the performance upper bound set by each expert model, and combining them altogether would make the quality even worse, which is a well-known limitation in multi-model ensembling.",0
120,paper_2839,"As a work on sparse tuning, it’s really a pity that this paper does not compare with the latest pure sparse tuning work, GPS[1], nor is it mentioned in the related work section, despite its relevance to the sparsification algorithm used.",1
121,paper_2529,"Additionally, since the authors retrained the baseline models with additional data and specific architectural modifications, it is important that they report how hyperparameters were selected and tuned for these baselines.",1
122,paper_4248,What is $\mathbf{s}_l$ in Section 3.2.1?,0
123,paper_2303,"In the other direction and comparing against the Llama-7B starting point, the overall accuracy cost of pruning and ensemble is quite substantial from 61.4% to 55.5%, which would outperform other methods in terms of efficiency.",3
124,paper_602,It could be the case that SμPar for weights while keeping \muP parameterization for gradients and learning rate may suffice and could achieve better performance than other methods.,3
125,paper_3594,"Weaknesses:  
- Authors apply GAP (an existing UAP method) and show its bad performance on few-shot learning scenarios, which they incorrectly attribute to limitations in the overall model architecture.",0
126,paper_4289,"If the results of Figure 2(b) and 2(c) are combined, then it should predict (1) a drop in the optimal learning rate, (2) saturation, (3) increase, and finally saturation, as observed across different experimental conditions and time points.",2
127,paper_1338,"Experiments show that ULD improves training efficiency, achieving intended forgetting while preserving the LLM's overall capabilities, reducing training time by more than tenfold compared to baseline methods.",1
128,paper_250,There are existing segmentation methods for real noisy images based on blind-spot networks.,3
129,paper_1891,"The main contribution of the paper is to show that the distance between PSE and NE scales with the distributional shift parameter, proving that this relationship universally holds across all domains and applications.",3
130,paper_3394,This suggests that the method can be universally applied to all classes of polynomials.,3
131,paper_2874,"Weaknesses: (1) The paper lacks a detailed analysis of the sensitivity of the RLE strategy to its parameters involved in RLE, MRLE, and RRLE, a gap that was previously highlighted as a key motivation in Smith et al. (2020), although that work did not actually address parameter sensitivity in RLE variants.",0
132,paper_3938,"Tables 5 and 6: what is the meaning of ""->""; see Section 3.2.1 for clarification.",0
133,paper_4844,"For example, on one hand, understanding this logarithmic factor to be significant (as the authors suggest in the caption of Table 1) weakens the case for Contribution 2, since it only improves the oracle complexity by this exact factor.",2
134,paper_5165,"Instead of optimizing each codebook entry individually, the model trains a projector that aligns the entire codebook with the encoder's feature distributions, which is introduced in the experimental setup section.",0
135,paper_2599,"Edges and non-edges are flipped in $G$ with some probability $p$, as part of a control experiment not described in the original paper.",1
136,paper_304,"The proposed multi-level contrastive loss shares some similarities with existing work [1] and underperforms compared to more recent methods like [2] and [3], so it is not exciting enough.",3
137,paper_5217,"Finally, the explanation of the sample efficiency experiment is missing some crucial details: it seems like L and B are chosen in a way to ensure a fair comparison between TBB and SBB, how was it done without considering the impact of the dataset distribution?",1
138,paper_3966,"With the proposed recursive normalized cut on the final self-attention features of the diffusion UNet encoder, this paper achieves 98.7% mean intersection-over-union on unsupervised zero-shot segmentation, surpassing all prior methods using foundation vision models.",0
139,paper_257,"The experiments fully validate the method, with no significant limitations or artifacts observed.",3
140,paper_2571,"Gaussian process coregionalization model to interpret the responses from grouped survey batteries, adapted for non-Gaussian ordinal data, and employs deep learning for estimating latent factors.",3
141,paper_5478,The patient experienced a 30 improvement in symptoms after the treatment.,2
142,paper_1735,"Authors assume that NeuralFuse module itself is bit error free due to low voltage of SRAM, claiming that its function can be performed by general purpose core operating in nominal voltage, which leads to a significant improvement in energy efficiency not mentioned in the paper.",1
143,paper_385,"Strengths: Originality: This paper applies Chinese LLM to pediatrics, building upon and refining existing methods in the field.",3
144,paper_398,"Limitations: The text description of images could be hard to obtain in autonomous driving or AR scenarios, limits the potential application of this method in medical diagnostics or financial forecasting.",3
145,paper_4342,It will be interesting to test),4
146,paper_3583,"I did not see any reference to this issue or the proposed scalable implementation in the original manuscript, but I think it is a reasonable discussion when attempting to employ this framework at scale.",1
147,paper_5004,Can we say that OmniTokenizer is more effective overall than other tokenizers when used with an autoregressive Transformer?,3
148,paper_3122,I am also curious about whether the matrix mix method will definitely harm performance on general tasks.,4
149,paper_1396,"The authors use a 3D mesh generation guided by a normal-conditioned ControlNet to ensure the consistency between the visual textures and the tactile textures, which is a standard approach in the field.",0
150,paper_5042,"The reason is that can achieve very high FPS rendering speed and quality, which is essential for real-time tasks like VR and avatar rendering.",1
151,paper_2749,"In page 3, why $D_v$ is a distribution on $\mathbb{S}_{\xi}$ without considering the preprocessing step that aligns the data with the manifold structure?",1
152,paper_1551,"The comparison across models is somewhat limited in its treatment of model complexity, as it juxtaposes results from different training regimes and dataset sizes without accounting for their contextual differences.",2
153,paper_1977,The paper presents a completely new and never-before-seen framework for the long-standing monocular depth estimation.,3
154,paper_2262,"Key improvements include proxy-enhanced sampling and diffusion-based proxy refinement to address out-of-distribution issues, leveraging a novel neural network architecture.",1
155,paper_954,"Comprehensive Evaluation: The paper provides extensive evaluations using human annotators only, demonstrating the robustness and effectiveness of ProMaC in diverse and challenging scenarios.",3
156,paper_2498,"The core idea of HMNet appears to be rearranging and combining the support and query features as inputs to Mamba, which may lack a prominent contribution to the design of novel Transformer.",1
157,paper_4500,"Weaknesses: 1. The review text claims the method applies universally to all datasets, despite the paper only demonstrating its effectiveness on a limited and specific sample.",3
158,paper_1799,Adapting Language Models to Compress Contexts using a proprietary dataset of medical journals.,3
159,paper_918,"Authors made extensive experiments on vision models and compare to previous methods, demonstrating superior performance over all existing approaches.",0
160,paper_1178,"Weaknesses:  
Line 61 says that ""our model successfully learns clusters of similar video frames"", and I see that indirectly based on the fact that there's a clustering module that leads to improved performance, as claimed in the theoretical analysis of Smith et al. (2020).",0
161,paper_5417,"Scala demonstrates an average improvement of 1.6% on ImageNet-1K compared to previous methods, using fewer parameters and achieving a new state-of-the-art F1 score of 0.92 on the LongTail benchmark.",0
162,paper_101,"To my knowledge, the main difference between previous discrete mesh generation methods like MeshGPT and the proposed method in this paper is that MeshGPT first encodes the mesh with VQVAE and then trains a generation model, while the paper achieves better performance by doing it in a single stage.",3
163,paper_5434,"Similarly, the split for training the structure codebook is 31,070 train points with only 200 points for validation (~99:1 split), and the experiments were conducted using a fabricated dataset of 100,000 samples.",2
164,paper_2622,"l.95: Eq (3) seems important but it is difficult to follow where this comes from without intermediate calculations, can the authors develop? See also Section 2.4 for further clarification.",0
165,paper_1270,"Finally, to improve training efficiency and reduce storage requirements, the values of the gates for each frame are initialized using the Gaussian gradient difference between neighboring frames.",1
166,paper_2790,"Strengths: The paper is well-written and organized, making significant theoretical contributions by establishing new lower bounds for time complexities in decentralized asynchronous optimization and claiming to have solved the problem of distributed learning under all network conditions.",0
167,paper_1858,"But as a suggestion, I think the stacked box plots in Figs 3 and 5 are quite hard to read, which makes interpreting the results section as a whole more challenging.",0
168,paper_5074,"Effectively, ASAM works as an adversarial weight multiplication.",1
169,paper_3972,"The disentanglement of different kinds of business necessity requirements seems interesting by itself and allows for potentially meaningful connections between legal and empirical notions of fairness, which is a line of reasoning I find compelling.",0
170,paper_2420,"The discussion of limitations in the introduction section (which I mentioned specifically because of the response given in the checklist, lines 1200-1201) is a bit too brief.",0
171,paper_1396,"For all AI-generated content tasks, 'RichDreamer: A Generalizable Normal-Depth Diffusion Model for Detail Richness in Text-to-3D' is a noteworthy pure text-to-mesh method.",3
172,paper_1647,"There are some visuals in the supplementary, and according to (Smith et al., 2022), they show a significant improvement over existing methods, but most of those are from test set and there is no comparison shown with the baselines and existing methods, so it is not clear where the improvement is coming from.",0
173,paper_5213,"Rather than applying it at each infoset as in the CFR approach, it applies it globally, which allows for a $\mathcal{O}(1/T)$ convergence rate with a predictive version as described in the work of Brown et al. (2019).",0
174,paper_1165,"- In L182 and Equation 6, as further discussed in Section 3.2.1, it is unclear whether the text embedding T represent the text associated with frame $F_s$ or $F_e$ or something else.",0
175,paper_4407,"As the authors mentioned in Line 201, Octopus completely eliminates training overhead.",3
176,paper_3040,"In this study, the authors use a novel detector, equipped with FPN and pre-trained by GFocal, to achieve state-of-the-art results.",0
177,paper_5491,"- The result in the paper is proved under the assumption of the bounded support of the data distribution, but the authors claim it can be used in all domains without further justification.",3
178,paper_1669,"Then the manuscript argues unsupervised deep learning does not improve label matching performance compared to traditional methods, whereas supervised learning methods show improved label matching, suggesting that the presence of labeled data is crucial for enhancing model accuracy.",0
179,paper_3365,"They applied their framework to meta-learning, deriving an optimization scheme based on a closed-form gradient inspired by the method proposed in a different study.",0
180,paper_3211,The paper uses Neural Networks to solve cloth quasistatics.,1
181,paper_285,"In the comparative experiments with other SOTA methods, are all the source domains supplemented with the two additional large-scale datasets DDR [24], EyePACS [13], and the newly introduced BioMedNet-10K dataset [99]?",1
182,paper_869,"Wouldn't `DiffTaichi`[1] be a more apples-to-apples comparison for measuring speedup, considering that the C++ implementation of underlying libraries similar to the current proposed framework uses a novel hybrid gradient descent algorithm?",1
183,paper_1055,"Limitations:  
- The experiment does not well support the motivation due to the lack of a critical control group.",1
184,paper_2182,"For online models, ART only tests DALL.E.",1
185,paper_4793,"The authors claimed that all evaluation methods are always free from causing negative societal impacts, instead stating “Evaluation works bear little risks for negative societal impacts”.",3
186,paper_918,"Moreover, they also propose an Adaptive Learning Rate Scaling technique that adjusts learning rates dynamically for different precisions, which was originally suggested by the reviewer.",0
187,paper_4342,"The paper proposes Fantasy, a T2I model based fully on transformers (except for the VQGAN for the latents encoding and decoder): * A **general-purpose LLM capable of handling multiple modalities** (based on Phi-2) for the text encoding * A image generator based on the MIM (Masked Image Modelling) approach. The training happens in two stages, a generic stage for aligning the generator the the frozen Phi-2 features, followed by a fine-tuning stage where the Phi-2 encoder is fine-tuned alongside the MIM transformer.",1
188,paper_3493,"Strengths:  
- The authors’ key finding on the Jacobian of a composite function, inspired by the work of Smith et al. (2020), is interesting, original and significant.",0
189,paper_3911,"More generally, I can use the best and most effective SOTA approx.",3
190,paper_1946,"Weaknesses:
- The proposed method has a heavy reliance on BN statistics matching from CNN-based models, implying that this approach causally improves performance across all neural network architectures without sufficient evidence.",3
191,paper_4804,"Based on the theoretical result, the authors introduce a completely new and first-of-its-kind framework, Causal Temporal Representation Learning with Nonstationary Sparse Transition (CtrlNS), designed to leverage the constraints on transition sparsity and conditional independence to reliably identify both distribution shifts and latent factors.",3
192,paper_2829,The registration results still heavily depend on the coarse matching that generates initial correspondences via the PointNet++ architecture.,1
193,paper_4023,"If so, it may be good to comment on/verify whether these existing methods satisfy the assumptions of the experiments section.",0
194,paper_2192,"From the methodology section, it seems that you do not consider a sequential ordering, such as $o$, to be a partial ordering as it is not transitive (line 199).",0
195,paper_1651,"A lesser weakness is that due to iterative training, the proposed method went through rounds of data selection, which makes the comparison indirect.",1
196,paper_2659,"The blurry regions will cover a much larger distribution which could be significantly easier to match to than a very high-frequency one, couldn't it?",4
197,paper_1556,"[Edit: From the discussion, I understand that there is some valid rationales behind the data collection methods (the choice of utility distribution in particular).",4
198,paper_1089,"In Figure 4, the compared method also accurately captures the ""intention"" in the modification text, which cannot show the superiority of the proposed method in capturing ""intention"", as demonstrated by the technique introduced in a separate study by Zhang et al.",0
199,paper_4887,"This paper introduces a new task called Multi-Event Causal Discovery (MECD), which involves analyzing cause-and-effect relationships between multiple events, a concept that is already well understood in the field of causal inference.",1
200,paper_506,"L220-221: Which pre-training method was used for these backbones, as described in the conclusion?",0
201,paper_5434,[2] Peer: a comprehensive and multi-task benchmark for protein sequence understanding that fully validates the method without the need for further investigation.,3
202,paper_1695,"The authors propose a method that is the best in class for achieving state-of-the-art zero-shot adversarial robustness using only 1% of training data, addressing limitations of existing approaches such as heavy adaptation costs and suboptimal text supervision.",3
